id,scene,question,answer,evidence,qa_type
1,9、INT. MILES OFFICE,"In [9、INT. MILES OFFICE], What is Miles' emotional state?",Feeling fragile and haunted,Miles has a haunted look and says he's feeling very fragile,character states
2,2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,What does Miles believe about life according to his speech?,Life is struggle and the ultimate destruction of your opponent.,At Massey Myerson we believe life is struggle and the ultimate destruction of your opponent.,dialogue/beliefs
3,24、EXT. MASSEY MYERSON - CONFERENCE ROOM - DAY,"In [24、EXT. MASSEY MYERSON - CONFERENCE ROOM - DAY], What is Miles' emotional state during his speech?","Naked, vulnerable, and in love","MILES For the first time in my life, I stand before you naked... vulnerable... and in love.",character states
4,5、INT. SARAH SORKIN'S BEACH HOUSE - NIGHT,What action does Frankie Pentangeli take after the courtroom scene according to Marylin's story?,Opens his veins in the bathtub.,"In the Godfather, after the courtroom scene, Frankie Pentangeli opens his veins in the bathtub.",detailed description
5,16、INT. FANCY RESTAURANT,"In [16、INT. FANCY RESTAURANT], What emotional states does Marylin express during the conversation?","Betrayed, abandoned, and humiliated.","MARYLIN: I don't feel victorious... betrayed, abandoned and humiliated.",character states
6,10、INT. PRIVATE BATHROOM,What does Miles do with his finger while addressing Marylin?,"He runs a finger across his teeth, which squeak.","He runs a finger across his teeth, which squeak",detailed description
7,10、INT. PRIVATE BATHROOM,How does Doyle present the item he pulls from his pocket?,"He pulls out a deranged piece of felt stuffed with money, most of which slips to the floor.",Doyle pulls out a deranged piece of felt stuffed with money. Most of the contents slip to the floor.,detailed description
8,26、INT. QUATRAIN ANTIQUES - DAY,"In [26、INT. QUATRAIN ANTIQUES - DAY], How does Marylin describe Miles' personality?","He is idealistic and happy, lacking cynicism or anger.",He's still so idealistic. He has no cynicism or anger.,character states
9,47、INT. MASSEY BEDROOM,Why is the construction worker hostile after receiving the cigars?,Because he believes they're harmful and illegal.,"CONSTRUCTION WORKER: 'They're illegal, and you get to put em in fancy boxes -- but -- shit man! It's still tobacco.'",causal/relational queries
10,28、INT. RUTH RABINOW'S OFFICE,"In [28、INT. RUTH RABINOW'S OFFICE], What is Miles's emotional state during his conversation with Ruth?",Upset and frustrated,Miles ranting around her office,character states
11,11、INT. HOWARD'S HOUSE - NIGHT,What does Miles believe about Marylin Rexroth's feelings for Howard Doyle?,He believes she doesn't love him.,"She can't really love that idiot, can she?",dialogue/beliefs
12,28、INT. RUTH RABINOW'S OFFICE,"In [28、INT. RUTH RABINOW'S OFFICE], How does Ruth respond to Miles's distress?",She sighs sympathetically,Ruth sighs sympathetically,character states
13,19、INT. DEN - MASSEY MANSION,"In [19、INT. DEN - MASSEY MANSION], What artist's lithograph does Marylin admire?",Hockney,I love that lithograph. Hockney?,objects/props
14,47、INT. MASSEY BEDROOM,Why does Miles give the cigars to the construction worker?,Because the worker pointed out they're illegal and harmful.,"CONSTRUCTION WORKER: 'They're illegal, and you get to put em in fancy boxes -- but -- shit man! It's still tobacco.'",causal/relational queries
15,23、INT. MASSEY HOUSE - MORNING,"In [23、INT. MASSEY HOUSE - MORNING], What is Marylin's behavioral state as Miles tells her about his day?",rapt with attention,she is rapt with attention.,character states
16,22、INT. CHAPEL,"In [22、INT. CHAPEL], What is Miles' emotional state when he bows his head?",Chastened,"Chastened, Miles bows his head.",character states
17,44、INT. MANSION,What does Joe claim about himself during the confrontation?,I'm the exterminator.,JOE: Lemme tell you something. You are the pestilence. I'm the exterminator.,dialogue/beliefs
18,44、INT. MANSION,What does Marylin say about whores and money?,All whores worship the dollar.,"MARYLIN: Well, actually, all whores worship the dollar, if you want to get technical.",dialogue/beliefs
19,11、INT. HOWARD'S HOUSE - NIGHT,What does Miles say about Howard Doyle?,He says Howard is the wrong man.,He's the wrong man.,dialogue/beliefs
20,31、INT. KENNETH'S HOUSE,"In [31、INT. KENNETH'S HOUSE], What is Miles's emotional state when he says 'I already made my move'?",Sad,"MILES (Sadly) I already made my move, Kenneth.",character states
21,34、INT. POLICE STATION - MONTAGE - DAY,"In [34、INT. POLICE STATION - MONTAGE - DAY], What is Marylin's emotional state after being placed in the holding tank?",Despondent,She clings despondently to the bars.,character states
22,25、INT. DEN - MASSEY HOUSE,"In [25、INT. DEN - MASSEY HOUSE], What is Miles' emotional state when he insists Marylin stay close?",Affectionate,MILES No. Stay. I want you close to me.,character states
23,22、INT. CHAPEL | 12、EXT. A WEDDING BOWER - AKA CHUPPA,What does Miles express about his and Wrigley's relationship during the wedding reception?,"Miles expresses a sense of longing and dissatisfaction, wishing that he and Wrigley could have been something simple and classic, like a club sandwich.","Miles says quietly, 'Why couldn't we be the club sandwich?' after criticizing the berry spoons Wrigley gave him, indicating his emotional reflection on their relationship.",character states
24,20、INT. BEDROOM - NIGHT | 25、INT. DEN - MASSEY HOUSE,What does Miles state about his life before being with Marylin?,Miles states that he has been asleep his whole life until the moment he proposed to Marylin.,"He says no, adding that he has been asleep his whole life until this moment.",character states
25,17、INT. CAR | 25、INT. DEN - MASSEY HOUSE,What does Miles state about the house in relation to their marriage?,"Miles states that the house feels wrong, like a bachelor pad, and not like a home for a married couple.","He comments that the whole house feels wrong—like a bachelor pad, not a home for a married couple.",character states
26,30、INT. KITCHEN | 44、INT. MANSION,What happens after Marylin enters the bedroom and finds the note?,"Miles and Marylin confront Joe in a final showdown, and then they flee the house.","After finding the note, the next events described are Joe struggling with his gun and inhaler, Miles stepping back into the room, and Marylin refusing to escape, leading to the confrontation and subsequent gunshots. After Joe collapses, Marylin and Miles flee the house as Joe fires blindly behind them.",temporal references
27,39、INT. BEDROOM - MASSEY HOUSE | 44、INT. MANSION,Why did Joe end up targeting Miles for the hit instead of someone else?,"Joe ended up targeting Miles because Miles unknowingly hired Joe to carry out a hit on himself, believing he was acting on behalf of Mr. Dumbarton when in fact he was setting in motion an attempt on his own life.","Marylin explains that Joe was originally hired by Miles himself, revealing that Miles unknowingly set in motion the attempt on his own life.",causal/relational queries
28,3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING | 30、INT. KITCHEN | 42、INT. MASSEY MANSION - NIGHT | 44、INT. MANSION,What does Marylin state about filing for divorce during her phone call with Ruth?,Marylin states that she couldn't file for divorce and wasn't sure she was going to file at all.,"She explains that she couldn't file, and adds that she wasn't sure she was going to file at all.",character states
29,21、INT. CHAPEL | 25、INT. DEN - MASSEY HOUSE,What does Marylin state about her reasons for not signing the prenuptial agreement?,"Marylin states that she wants to be protected for Miles, not from him, and desires a marriage based on love, trust, and shared property.","Marylin declines to sign, stating she wants to be protected for Miles, not from him. She declares her desire for a marriage based on love, trust, and shared property.",character states
