doc_title,chunk_id,fact,scene_context
13、EXT. DESERT - LATER,doc_12_chunk_0,Doc is splattered with cow entrails.,"Outside the bunker, during the cow explosion"
130、EXT. DESERT - LATER,doc_129_chunk_2,Doc greets the army drivers as they disembark from the U.S. military convoy.,"Bunker, U.S. military convoy arrival"
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_9,Doc is held in custody.,"Gold bars spilled, choppers cut off"
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_2,Doc is grabbed and pulled away from the Shiites by U.S. Military Police.,"Border area, U.S. military police arrive and pull Doc away from the Shiites."
14、EXT. DESERT - DAY - HIGH WIDE SHOT,doc_13_chunk_3,Doc holds the bunker door.,"Bunker door, Archie pushes Troy toward Doc who is holding the door."
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_16,Doc is being cheered by the U.S. soldiers and MPs.,"Shiites cross border, U.S. soldiers and MPs cheer Troy, Archie, and Doc."
130、EXT. DESERT - LATER,doc_129_chunk_5,Doc helps Imam and his daughter into a truck.,Convoys pulling out
151、EXT. DESERT - MOVING HUMVEE - MORNING,doc_150_chunk_0,Doc destroys the painted football.,Humvee rolling into the desert
158、INT. BASEMENT OF BUNKER - DAY,doc_157_chunk_3,Doc commands to kill the Iraqi.,"After infrared map is shown to Iraqi, during interrogation at crate location."
11、EXT. DESERT - MOVING HUMVEE - MORNING,doc_10_chunk_0,Doc blows the ball to pieces.,"Humvee in desert, football thrown."
121、EXT. FRONT OF THE BUNKER - LATER,doc_120_chunk_0,Doc is present at the scene of Vig's corpse.,"Vig's corpse in Jaguar trunk, Shiite women and children praying"
167、INT. SECOND IRAQI BUNKER - DAY,doc_166_chunk_0,Doc cuffs the Iraqi soldier.,Narrow cement corridor: Doc cuffs the Iraqi soldier after the soldier runs away.
136、EXT. BORDER,doc_135_chunk_0,Doc leads the crowd through a narrow opening in the razor wire.,Crowd walks toward border and passes through razor wire opening.
174、INT. ROOM OF BUNKER 2 - DAY,doc_173_chunk_2,Doc is no longer being choked by the Iraqi Captain.,
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_11,Doc is in handcuffs,"Near frozen Iraqi soldiers and terrified Shiites, as General Horn and Captain Van Meter approach the Iraqi soldiers."
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_4,Doc is handcuffed in front.,"Iraqi soldiers taking Shiites prisoner, Doc and Archie handcuffed."
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_18,Doc is a red cap.,INT. KENNEDY AIRPORT
175、INT. BUNKER BASEMENT - LATER,doc_174_chunk_0,Doc finishes putting 5 bars in each bag.,Basement: Troy and Doc complete packing 5 bars per bag.
174、INT. ROOM OF BUNKER 2 - DAY,doc_173_chunk_5,The suitcase Doc opened contained sixty bars.,"Suitcases being checked, Captain handcuffed and crying."
174、INT. ROOM OF BUNKER 2 - DAY,doc_173_chunk_6,Doc agrees to a bet with Troy about the existence of a Lexus convertible.,During suitcase lifting with Archie
182、EXT. BUNKER NUMBER TWO - DAY,doc_181_chunk_24,Doc disarms the three Iraqi soldiers.,"Iraqi soldiers plead for mercy, Doc disarms them."
158、INT. BASEMENT OF BUNKER - DAY,doc_157_chunk_1,Doc commands the release of the Iraqi.,"Troy holding Iraqi in bear hug, Doc points pistol and issues command"
101、INT. BUNKER,doc_100_chunk_1,Doc's repeated attempts to kick open the door at the far side of the room were unsuccessful.,"Room cluttered with debris, Doc attempts to kick open a door at the far side."
183、INT./EXT. HUMVEE,doc_182_chunk_0,Doc disinfected and wrapped Archie's gunshot wound in his lower left arm.,"In a moving vehicle, Doc treats Archie's gunshot wound."
209、INT. LARGE ROOM OF MINARET - DAY,doc_208_chunk_2,Doc takes Vig's hand.,
206、EXT. OPEN DESERT - DAY,doc_205_chunk_0,Doc enters the ancient minaret.,"Desert, entering the ancient minaret"
173、INT. BASEMENT,doc_172_chunk_0,Doc disarms two guards.,"outside a door in the basement, disarming two guards"
174、INT. ROOM OF BUNKER 2 - DAY,doc_173_chunk_4,The suitcase is filled with five-kilo bricks of gold.,Doc opens a suitcase and discovers the contents.
204、EXT. U.S. COMPANY B CAMP - MESS AREA - DAY,doc_203_chunk_0,Doc is absent from the scene.,Military personnel check
230、EXT. BUNKER,doc_229_chunk_0,The rear door of the bunker is blockaded shut by Doc's car.,"Bunker rear entrance, Doc parks the Rolls to block the door."
182、EXT. BUNKER NUMBER TWO - DAY,doc_181_chunk_26,Doc is inside the Humvee.,"Humvee escape scene, Doc joins the crowded vehicle."
253、EXT. BUNKER,doc_252_chunk_0,Doc is stunned.,
229、INT. ROLLS ROYCE,doc_228_chunk_0,Doc is at the bunker's rear.,bunker's rear
248、INT. FRONT DOOR OF BUNKER - DAY,doc_247_chunk_0,Doc receives a football bomb wrapped in C-4 from Archie.,Archie hands a football bomb wrapped in C-4 to Doc.
270、EXT. DESERT - LATER,doc_269_chunk_2,Doc greets the army drivers upon their arrival at the bunker.,"Bunker, arrival of U.S. Military vehicles."
261、EXT. FRONT OF THE BUNKER - LATER,doc_260_chunk_0,Doc is present at the scene of Vig's corpse.,"Open trunk of Jaguar with Vig's corpse, Shiite women and children chanting and praying."
270、EXT. DESERT - LATER,doc_269_chunk_6,Doc is in the back of a truck with Shiites.,Desert convoy departure
