doc_title,chunk_id,description,scene_context
45 茶楼	内	日,doc_44_chunk_0,陈识来到房中,
29 陈识家	内	日,doc_28_chunk_0,陈识绑着受伤的左膀,
51 郑山傲家	外	日,doc_50_chunk_0,陈识一掌将郑山傲的后门劈开,
42 津门武馆	外	日,doc_41_chunk_0,陈识站在门外,
42 津门武馆	外	日,doc_41_chunk_0,陈识扔下自己的箱盒和草帽急冲冲走了,
3 津门武馆	内	日,doc_2_chunk_0,陈识用自己的双刀武器过招击败四个士兵,
12 陈识家	内	夜,doc_11_chunk_0,陈识坐起看着侧躺抽烟的赵国卉,民国家居，两人完事后
19 洋人街	外	日,doc_18_chunk_0,陈识带着赵国卉走在街道上,一年后，街道上
40	津门武馆	内	日,doc_39_chunk_0,陈识看着一行人离开,武厅
6 陈识家	内	夜,doc_5_chunk_0,陈识躺在床上一手紧握自己的双刀思索,
11 马车	内	日,doc_10_chunk_0,陈识端着酒杯,
11 马车	内	日,doc_10_chunk_0,陈识抽出自己的双刀,
4 某舞厅	内	日,doc_3_chunk_0,陈识淡定的看着舞池前方,舞厅内
2 某武馆	内	日,doc_1_chunk_0,孤独沉静地坐在房内抚摸自己的双刀武器,房内
53 郑山傲家	外	日,doc_52_chunk_0,陈识跟着郑山傲拿着行李出门,家宅外
15 陈识家	内	夜,doc_14_chunk_0,陈识躺下,屋内黑暗，两人裸身相拥
34 某武馆	外	日,doc_33_chunk_0,陈识在比试前巷道嘱咐耿良辰,比试前巷道
34 某武馆	外	日,doc_33_chunk_0,陈识突然在背后用刀偷袭,比试前巷道
34 某武馆	外	日,doc_33_chunk_0,陈识后背的箱带掉在了地上,比试前巷道
31 陈识家	内	日,doc_30_chunk_0,用毛巾擦着脸出来，身边围着几个打手，看到邹馆长坐在自己女人身边，眼不及手快的拿着小板凳坐下,院内，邹馆长带人进入
33 陈识家	内	日,doc_32_chunk_0,陈识立马将赵国卉制到房间床上按住,房间内
33 陈识家	内	日,doc_32_chunk_0,陈识双手合十,房间内
5 保龄球馆	内	夜,doc_4_chunk_0,陈识突然激动地站了起来,
5 保龄球馆	内	夜,doc_4_chunk_0,陈识转身,
5 保龄球馆	内	夜,doc_4_chunk_0,陈识看着他人打了一个保龄球全垒,
21 街道	外	日,doc_20_chunk_0,陈识在街边抚摸着一只小黄狗,街边，逛街
21 街道	外	日,doc_20_chunk_0,陈识把小狗抱起来,街边，逛街
52 郑山傲家	内	日,doc_51_chunk_0,突然陈识拿刀袭击,卧室
52 郑山傲家	内	日,doc_51_chunk_0,陈识意识到郑山傲地位权威不再风光，慢慢放下刀,卧室
35 舞厅	内	日,doc_34_chunk_0,陈识看着白俄女人露着白花花的大腿跳舞,
35 舞厅	内	日,doc_34_chunk_0,陈识喝醉似的摇头晃脑,
35 舞厅	内	日,doc_34_chunk_0,陈识叼着雪茄看着眼前的舞女眼前放空,
49 茶馆	内	日,doc_48_chunk_0,邹馆长带着陈识来到茶馆阳台上,茶馆阳台，邹馆长与陈识谈话
49 茶馆	内	日,doc_48_chunk_0,两人喝着小茶看着街面上一群人围攻耿良辰,茶馆阳台，观看街景围攻
17 陈识家	内	日,doc_16_chunk_0,陈识从屋外急步回来,屋外
17 陈识家	内	日,doc_16_chunk_0,陈识从后面用力抱住她,屋内
72 新武馆	内	日,doc_72_chunk_0,陈识正看着《火烧红莲寺》里的故事,
13 大桥	外	日,doc_12_chunk_0,陈识两下就搞定了,大桥上，混混追赵国卉
13 大桥	外	日,doc_12_chunk_0,陈识揽着赵国卉的腰离去,大桥上，陈识与赵国卉离去
43 西餐厅	内	日,doc_42_chunk_0,点了七八份面包,餐厅
43 西餐厅	内	日,doc_42_chunk_0,沉默些许,餐厅
43 西餐厅	内	日,doc_42_chunk_0,起身拍了拍女人的肩膀,餐厅
74 新武馆	内	日,doc_74_chunk_0,突然周围一群人将陈识按倒在地。,
74 新武馆	内	日,doc_74_chunk_0,期间有人把双刀偷偷塞到陈识的手边。,
66 新武馆	内	日,doc_66_chunk_0,陈识和林副官一行人坐在大堂里,馆内大堂，新武馆开馆
77 某建筑	外	日,doc_77_chunk_0,陈识跟穿着护具的弟子们比拼，用双刀在弟子们的护具上一一放倒,
24 巷子	外	夜,doc_23_chunk_1,陈识拉着赵国卉离开,
24 巷子	外	夜,doc_23_chunk_1,陈识停住回头看,
24 巷子	外	夜,doc_23_chunk_1,陈识背起赵国卉,
24 巷子	外	夜,doc_23_chunk_1,陈识回想起梳妆台上的照片,
24 巷子	外	夜,doc_23_chunk_1,陈识背着赵国卉一路走到家,
8 保龄球馆	内	日,doc_7_chunk_0,陈识在球馆练球,球馆内，练球
27 津门武馆	内	日,doc_26_chunk_0,陈识频频被郑山傲制住,天津武馆，比试双刀
27 津门武馆	内	日,doc_26_chunk_0,陈识反击用刀截断了刀尖，用刀抵住郑山傲的喉咙,天津武馆，比试中
27 津门武馆	内	日,doc_26_chunk_0,陈识拔掉郑山傲扎到身上的带血刀片，扔在桌上,天津武馆，比试后
9 西餐馆	外	夜,doc_8_chunk_0,陈识在餐馆路过的地方等待赵国卉,
55 舞厅	外	日,doc_55_chunk_0,陈识看着郑山傲带着一位外国女人提着行李出来,
55 舞厅	外	日,doc_55_chunk_0,陈识回想起在舞厅里跳舞的白俄女人,舞厅
55 舞厅	外	日,doc_55_chunk_0,陈识向前接过郑山傲手中的行李,
55 舞厅	外	日,doc_55_chunk_0,陈识看着白俄女人狡猾的笑容,
59 仓房	内	夜,doc_59_chunk_0,陈识看在耿良辰曾经训练的木桩,训练场木桩处，邹馆长一行人进入
59 仓房	内	夜,doc_59_chunk_0,陈识拿起刀砍起木桩,训练场木桩处，邹馆长一行人进入
59 仓房	内	夜,doc_59_chunk_0,陈识不理会，狂躁的将木桩上的刀臂一一砍断,训练场木桩处，邹馆长一行人进入
75 新武馆	外	日,doc_75_chunk_0,陈识破门而出，往火车站的方向奔跑,火车站
24 巷子	外	夜,doc_23_chunk_0,陈识突然停住,路上，赤膊男人追上来
24 巷子	外	夜,doc_23_chunk_0,陈识摆着一张椅子，两人坐着,路上，赤膊男人追击中
24 巷子	外	夜,doc_23_chunk_0,陈识冲进人群用竹棍打倒了一片人，又立马坐回到女人身边,路上，赤膊男人追击
24 巷子	外	夜,doc_23_chunk_0,陈识隔老远将两人制住,路上，赤膊男人追击
24 巷子	外	夜,doc_23_chunk_0,陈识击退一汉起身，其余吓得后退,路上，赤膊男人追击
74 新武馆	内	日,doc_74_chunk_1,陈识一飞刀割破林副官颈部大动脉,
87 火车	内	日,doc_87_chunk_0,陈识看着耿良辰带有血迹的书，望着车窗外思索,火车上，田野间
79 街道	外	日,doc_79_chunk_0,走在大街上，没有看到后面追上来的赵国卉,大街上，赵国卉追上但陈识未察觉
