doc_title,chunk_id,fact,scene_context
51 郑山傲家	外	日,doc_50_chunk_0,陈识劈开了郑山傲的后门。,
11 马车	内	日,doc_10_chunk_0,陈识承诺以赵国卉为约束。,
2 某武馆	内	日,doc_1_chunk_0,陈识是南派宗师,武馆内
34 某武馆	外	日,doc_33_chunk_0,陈识后背的箱带掉在了地上,比试前巷道
49 茶馆	内	日,doc_48_chunk_0,陈识被允许离开，不被拦。,茶馆阳台
27 津门武馆	内	日,doc_26_chunk_0,陈识被郑山傲用刀扎伤。,天津武馆比试双刀
13 大桥	外	日,doc_12_chunk_0,陈识制服了混混。,大桥上
13 大桥	外	日,doc_12_chunk_0,陈识与赵国卉一起离开。,大桥上
44 街道	外	日,doc_43_chunk_0,陈识在街口遇到两位武行弟子。,街口
43 西餐厅	内	日,doc_42_chunk_0,陈识与赵国卉达成送行协议。,餐厅
52 郑山傲家	内	日,doc_51_chunk_0,陈识终止了挟刀僵持状态。,卧室
79 街道	外	日,doc_79_chunk_0,陈识没有看到赵国卉追上他。,大街上
59 仓房	内	夜,doc_59_chunk_0,陈识被邹馆长告知在酒店订了房，武馆修好前可暂住。,武馆内，邹馆长与陈识交谈
29 陈识家	内	日,doc_28_chunk_0,陈识的左膀受伤,床边
31 陈识家	内	日,doc_30_chunk_0,陈识的伴侣是赵国卉,院内，邹馆长来访
74 新武馆	内	日,doc_74_chunk_1,陈识用飞刀割破了林副官的颈部大动脉,
12 陈识家	内	夜,doc_11_chunk_0,陈识的亲密事件已结束。,民国家居
14 陈识家	外	日,doc_13_chunk_0,陈识从外面回来。,陈识家院外，赵国卉感知男人回来
14 陈识家	外	日,doc_13_chunk_0,陈识在比试中卡住耿良辰的攻击。,比试场景，耿良辰攻击陈识
