scene,question,answer,evidence,qa_type
3、INT: JADE'S APARTMENT--DAY,How does Mookie count his money?,Straightening the corners of the bills and arranging them so the 'dead presidents' face the same way,"he's straightening out all the corners of the bills, arranging them so the bills--actually the 'dead presidents'--are facing the same way",detailed description
13、INT: WE LOVE CONTROL BOOTH--DAY,What action does Mister Seor Love Daddy perform towards Radio Raheem?,Gives a clenched-fist salute,Mister Seor Love Daddy gives Radio Raheem a clenched-fist salute.,detailed description
3、INT: JADE'S APARTMENT--DAY,What camera movement is described at the start?,CAMERA MOVES IN ON a young man sitting at the edge of a sofa bed,CAMERA MOVES IN ON a young man sitting at the edge of a sofa bed,detailed description
19、INT: SAL'S FAMOUS PIZZERIA--DAY,"In [19、INT: SAL'S FAMOUS PIZZERIA--DAY], What is Buggin' Out's emotional state when he confronts Sal?",Buggin' Out is angry and confrontational.,"Buggin' Out slams his money down on the counter, takes his slice and sits down. He demands changes to the Wall of Fame.",character states
40、EXT: STREET--DAY,"In [40、EXT: STREET--DAY], Why does Radio Raheem reference the 'LOVE' and 'HATE' rings during his story?",To symbolize the conflict between Good and Evil.,Spelled out across the rings are the words 'LOVE' on the right hand and 'HATE' on the left hand. The story of Life is this... Left Hand Hate is kicking much ass... Love has won.,causal/relational queries
40、EXT: STREET--DAY,"What causes Mookie to say 'I love you, Black' at the end?",Radio Raheem's declaration of love for him.,"RADIO RAHEEM: I love you, my brother. MOOKIE: I love you, Black.",causal/relational queries
36、EXT: STOOP--DAY,Why does Da Mayor mention his children's hunger?,To explain his pain and justify his actions.,"Until you have stood in the doorway and heard the hunger of your five children, unable to do a damn thing about it, you don't know shit.",causal/relational queries
36、EXT: STOOP--DAY,Why does Da Mayor give Eddie money?,Because Eddie agrees to run the errand for him.,You got a deal. He gives Eddie some money.,causal/relational queries
46、INT: JADE'S BEDROOM--DAY,Why does Mookie dismiss Jade's concern about Sal?,He believes he's not a slave and doesn't want to argue.,"Slavery days are over. My name ain't Kunta Kinte. Sis, I don't want to argue, stop pressing me.",causal/relational queries
49、EXT: DA MAYOR'S STOOP--DAY,What caused Da Mayor's hands to loosely hold the brown paper bag?,He had fallen asleep,Da Mayor has fallen asleep sitting on his stoop. His hands loosely hold a brown paper bag that is tightly twisted around a beer can.,causal/relational queries
41、INT: SAL'S FAMOUS PIZZERIA--DAY,Why does Sal grab the Mickey Mantle bat?,Because Radio Raheem's music disturbs him and the customers.,"Sal grabs his Mickey Mantle bat from underneath the counter. Everyone, Sal, Vito, Pino, Radio Raheem, and the customers are poised for something to jump off, STATIC.",causal/relational queries
34、INT: SAL'S FAMOUS PIZZERIA--DAY,What causes Mookie to tell Pino to smack him back?,Pino's previous hit on Vito.,Smack him back.,causal/relational queries
21、INT: SAL'S FAMOUS PIZZERIA--DAY,"In [21、INT: SAL'S FAMOUS PIZZERIA--DAY], What is SAL's primary concern in the interaction?",Avoiding trouble,I don't want no trouble.,character states
37、INT: SAL'S FAMOUS PIZZERIA--DAY,What causes Mookie to dedicate a record to Tina?,Tina's request for him to prove his love.,Tina asks 'Do you love me?' and Mookie responds with the record dedication.,causal/relational queries
33、EXT: STREET--DAY,Why does the crowd laugh at Buggin' Out's comment?,He accused Clifton of gentrification.,What do you want to live in a Black neighborhood for? Motherfuck gentrification.,causal/relational queries
32、EXT: STREET--DAY,"In [32、EXT: STREET--DAY], What behavioral action does Buggin' Out perform toward Vito?",Gives a menacing look,Buggin' Out gives Mookie five and a menacing look at Vito.,character states
37、INT: SAL'S FAMOUS PIZZERIA--DAY,Why is Sal upset with Mookie?,Mookie's phone call is causing lost business.,"Sal says 'Mookie, you're fucking up' and Pino mentions losing business.",causal/relational queries
11、EXT: STOOP--DAY,"In [11、EXT: STOOP--DAY], What is ELLA's emotional state when she speaks to Punchy?",She is exhausted and frustrated,"She says, 'I'm too through,' and dismisses Punchy's suggestion.",character states
33、EXT: STREET--DAY,What causes Buggin' Out to confront Clifton?,Clifton stepped on his new sneakers.,You almost knocked me down... you stepped on my new white Air Jordans...,causal/relational queries
32、EXT: STREET--DAY,"In [32、EXT: STREET--DAY], What is Buggin' Out's stated identity?",A struggling Black man,BUGGIN' OUT: 'I'm just a struggling Black man trying to keep my dick hard in a cruel and harsh world.',character states
