id,scene,question,answer,evidence,qa_type
1,7、INT. LEXUS SUV,"In [7、INT. LEXUS SUV], What is Tracy's emotional state during her conversation with Cal?",Unhappy and guilty about cheating,"Tracy states she's unhappy, confesses to sleeping with someone, and expresses guilt",character states
2,9、INT. THE WEAVER HOUSE,What does Robbie claim about his feelings for Jessica?,I'm pretty sure you're my soulmate.,ROBBIE: I'm pretty sure you're my soulmate.,dialogue/beliefs
3,20、INT. CORPORATE APARTMENT - EVENING,What does Cal do when Molly starts crying?,Cal takes Molly's face in his hands and starts tearing up.,"Cal takes Molly's face in his hands, starts tearing up.",detailed description
4,19、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER),"In [19、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER)], What is Tracy's emotional state when she approaches Cal?",She is crying and experiencing a mid-life crisis.,She's wearing sweats. It's pretty obvious that she's been crying. ... I think I'm have a mid-life crisis maybe.,character states
5,28、INT. BAR - NEXT NIGHT,What action does Jacob take when Cal tries to shake Amy's hand?,pulls Cal's hand back,Cal extends his hand. ... JACOB (QUICKLY) Don't. He pulls it back.,detailed description
6,28、INT. BAR - NEXT NIGHT,What does Cal do while counting his past relationships?,"mumbles to himself, counting it out on one hand, then moves the count to a second hand","Cal thinks. He MUMBLES to himself, counting it out on one hand. ... He smiles at Jacob proudly when he has to move the count to a second hand.",detailed description
7,19、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER),"In [19、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER)], What is Cal's behavioral state when Tracy tries to comfort him?",He stops himself from comforting her.,Instinct tells him to comfort his wife but he can't anymore and he stops himself.,character states
8,62、INT. JESSICA'S BEDROOM - MINUTES LATER,Why does Jessica put the envelope in the drawer when the doorbell rings?,To hide it from the visitor,She quickly puts the envelope in a drawer and heads for the door.,causal/relational queries
9,53、INT. COFFEE SHOP - MORNING,Why does Jacob switch plates with Hannah?,He notices her longing and wants to share his pancakes.,"Hannah looks longingly at Jacob's plate of pancakes. He notices, switches plates.",causal/relational queries
10,30、INT. HIGH SCHOOL - HALLWAY - JESSICA,"In [30、INT. HIGH SCHOOL - HALLWAY - JESSICA], What is Robbie's emotional state after receiving the text from Jessica?",crestfallen,"Robbie stares at the screen, crestfallen.",character states
11,63、INT. JESSICA'S HOUSE - MOMENTS LATER,"In [63、INT. JESSICA'S HOUSE - MOMENTS LATER], What is written on the note?","Just give me a chance, love David J with 'David J.' crossed out and replaced by 'Robbie'","It reads: 'Just give me a chance, love David J' but the 'David J.' has been crossed out and replaced with 'Robbie.'",objects/props
