scene,question,answer,evidence,qa_type
20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,"In [20、INT HAZEL'S BEDROOM - ANOTHER NIGHT], What is Hazel's behavioral state regarding her phone?",Checking it frequently despite trying not to,The list of activities where she checks the phone each time,character states
19、EXT/INT GUS'S HOUSE - SAME,"In [19、EXT/INT GUS'S HOUSE - SAME], What is Hazel's physical condition?",Uses an oxygen tank and has weak lungs.,Hazel's oxygen tank and weak lungs.,character states
10、INT CHURCH BASEMENT - LATER,"In [10、INT CHURCH BASEMENT - LATER], What is Isaac's age and medical condition?","17, eye cancer, facing surgery, will be blind",Isaac. 17. Eye cancer. ... another surgery in a couple weeks. ... blind,character states
51、INT HAZEL'S HOUSE - SAME,What does 'grey pall' refer to in the passage?,"A dark, gloomy atmosphere cast by the sky and circumstances.",The sky - and the circumstances - have cast a grey pall over the day.,terminology/abbreviation/concept
13、INT HOSPITAL BED - FLASHBACK,"In [13、INT HOSPITAL BED - FLASHBACK], What is Hazel's medical condition?",Stage IV thyroid cancer,HAZEL (V.O.) Stage IV thyroid cancer.,character states
23、INT GUS'S BASEMENT BEDROOM - SAME,"In [23、INT GUS'S BASEMENT BEDROOM - SAME], What is Isaac's emotional state?",Having a nervous breakdown,"Isaac's head is buried in Gus's couch. He's wailing like a banshee, having some kind of nervous breakdown.",character states
20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,"In [20、INT HAZEL'S BEDROOM - ANOTHER NIGHT], What is Hazel's emotional state when she checks her phone repeatedly?",Anxious and waiting for Gus's call,The scenes showing her checking the phone and the line 'Where is he? Did he forget about her?',character states
21、INT HAZEL'S DINING ROOM - NIGHT,"In [21、INT HAZEL'S DINING ROOM - NIGHT], What is Hazel's emotional state during the dinner?",Sullen and barely touching her food.,"Hazel at the dinner table with her parents. She's a little sullen, barely touching her food.",character states
24、INT GUS'S BASEMENT - LATER,"In [24、INT GUS'S BASEMENT - LATER], What is Isaac's current mental state according to Gus?",He is in a psychotic episode.,Isaac is in the midst of a psychotic episode.,character states
10、INT CHURCH BASEMENT - LATER,"In [10、INT CHURCH BASEMENT - LATER], What is Augustus's physical condition?","Lost a leg to osteosarcoma, uses a prosthetic",Had a touch of osteosarcoma ... lost this baby ... prosthetic,character states
2、INT DOCTOR'S OFFICE - SAME,What does Hazel express uncertainty about regarding the doctor's suggestion?,Whether the support group is for her,HAZEL: I'm not sure it's for me.,dialogue/beliefs
18、INT GUS'S CAR - SAME,"In [18、INT GUS'S CAR - SAME], What is Hazel's physical condition according to her dialogue?",Her tumors have shrunk and her metastases have hardly grown.,"Tumors shrank, my mets have hardly grown since...",character states
2、INT DOCTOR'S OFFICE - SAME,What does Hazel compare herself to when discussing her ability to handle medication?,The Keith Richards of cancer kids,HAZEL: I'm like the Keith Richards of cancer kids.,dialogue/beliefs
1、INT DOCTOR'S OFFICE - DAY,What belief does Hazel express about the cause of depression?,"Depression is a side effect of dying, not cancer.",HAZEL (V.O.): ...it's a side effect of dying.,dialogue/beliefs
41、INT HOSPITAL ROOM - ICU - MORNING,What is the function of the TUBE mentioned in the passage?,It drains fluid from Hazel's side into a plastic bladder.,There's a TUBE in Hazel's side draining fluid into a plastic bladder that hangs off her bed.,terminology/abbreviation/concept
6、INT HAZEL'S KITCHEN - ANOTHER DAY,What causes Michael to correct Hazel's claim about taking pot?,Hazel's assertion that she would know such things with a fake ID,"HAZEL: See, that's the kind of thing I would know with a fake ID. MICHAEL: You don't take pot.",causal/relational queries
1、INT DOCTOR'S OFFICE - DAY,What does Hazel claim about her mental state during the doctor's visit?,I'm not depressed.,HAZEL: I'm not depressed.,dialogue/beliefs
16、INT ICU - THE NEXT MORNING,What does Hazel claim about her condition?,I got better. Stronger.,And in time I got better. Stronger.,dialogue/beliefs
31、EXT SUBURBAN STREET - LATER,What does Hazel do when Gus mentions 'crush'?,"Looks away, blushing","Hazel looks away, blushing.",detailed description
34、INT HAZEL'S LIVING ROOM - MOMENTS LATER,What did Hazel do while checking herself in the mirror?,Seemed to like what she sees a lot more than before,"ANGLE ON Hazel, checking herself out in the mirror. Seems to like what she sees a lot more than before",detailed description
23、INT GUS'S BASEMENT BEDROOM - SAME,"In [23、INT GUS'S BASEMENT BEDROOM - SAME], How does Hazel feel about the situation?",Genuinely confused,Hazel genuinely has no idea what the hell is going on.,character states
35、EXT PARK - LATER,"What sculpture do Hazel and Gus observe, and what is its description?",Giant white bones that children jump and play on,"They sit, looking out over a rather odd SCULPTURE - a set of GIANT WHITE BONES where children can jump and play.",detailed description
33、EXT HAZEL'S HOUSE - FRONT,What action does Michael take when Hazel exits the car?,Gets out of the passenger's seat to help her,Michael gets out of the passenger's seat to help Hazel out of the car,detailed description
61、INT AIRPORT - MOMENTS LATER,When does Hazel say 'Amsterdam!'?,After reinserting the cannula and closing her eyes,"She catches her mom looking at her, nervously. HAZEL (with some difficulty) Amsterdam!",temporal references
