id,scene,question,answer,evidence,qa_type
1,34、INT. LOCKER ROOM -- NIGHT,Why does Skip confront Whitey?,"Because Whitey is writing about the team's losing streak, which Skip resents.",WHITEY I'm doing a column on the Myth of Sisyphus... SKIP PICKS UP A CHAIR AND FIRES IT AT WHITEY,causal/relational queries
2,61、INT. ANNIE'S HOUSE -- NIGHT,What does Deke's Wife believe Mickey's statement implies?,He's unfaithful -- but only a man would put it in those words.,DEKE'S WIFE: It means he's unfaithful -- but only a man would put it in those words.,dialogue/beliefs
3,45、EXT. CHEAP MOTEL IN GREENSBORO -- DAWN,What is the purpose of the Bulls' game against the Greensboro Astros?,To end their six-game losing streak,Bulls will attempt to end a six game losing streak against the Greensboro Astros,causal/relational queries
4,40、EXT. HIGHWAY THROUGH THE SMOKY MOUNTAINS - EARLY MORNING,What does Annie believe causes a man to avoid seeking other women?,A woman taking care of her man thoroughly,I believe a woman oughta take care of her man so thoroughly that he can go on the road for a few days without having the desire to search out another pair of panties,causal/relational queries
5,15、INT. THE LOCKER ROOM --,What does Ebbby say about his first professional win?,It feels 'out there'. A major rush.,WHITEY How's it feel to get your first professional win? EBBY It feels 'out there'. A major rush.,dialogue/beliefs
6,46、INT. GREENSBORO BALLPARK LOCKER ROOM -- DAY,Why does he stuff the red panties back into his bag?,Because he is embarrassed.,He's embarrassed anyway -- and stuffs them back.,causal/relational queries
7,35、EXT. THE BALLPARK SIMULTANEOUS -- NIGHT,Why is the organization making a change regarding Bobby?,He is in a slump and hitless.,Bobby went hitless again... the organization has decided to make a change,causal/relational queries
8,15、INT. THE LOCKER ROOM --,What does Crash express about the situation?,Hopeless. Utterly fucking hopeless.,CRASH Hopeless. Utterly fucking hopeless.,dialogue/beliefs
9,22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT,"In [22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT], What is Ebby's emotional state during the scene?","Excited, intrigued, aroused, and frightened.","CLOSE ON EBBY'S FACE -- Intrigued, aroused, frightened.",character states
10,22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT,"In [22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT], What behavioral state does Ebby exhibit when he says 'Bring it on!'?",Excited and eager.,Ebby's wrist. Both his arms are outstretched -- he's getting very excited.,character states
