id,scene,question,answer,evidence,qa_type
1,33、INT. O'ROURKE'S - NIGHT (LATER),What does Galvin believe the court's purpose is?,"To give them a chance at justice, not actual justice.","GALVIN: The court doesn't exist to give them justice, eh? But to give them a chance at justice.",dialogue/beliefs
2,"62、INT. ""D. KAYE"" SIGN - COURTROOM CORRIDOR - DAY",What is written on the door's card?,PART III. DEBORAH ANN KAYE V. ST. CATHERINE LABOURE HOSPITAL ET AL.,The card reads: 'PART III. DEBORAH ANN KAYE V. ST. CATHERINE LABOURE HOSPITAL ET AL.',detailed description
3,26、INT. BISHOP BROPHY'S OFFICE - DAY,"In [26、INT. BISHOP BROPHY'S OFFICE - DAY], What is Galvin's behavioral state when he receives the document?",Sitting as if in a dream,Galvin is sitting as if in a dream.,character states
4,8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,"In [8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT], What is Galvin's emotional state when he wakes up?",Vacant and dismissive.,"GALVIN (vacantly): Hi, Mickey... ...hey, I don't need your charity...",character states
5,12、INT. NURSING HOME WARD - DAY,What is the visual description of the figure in the bed?,"Shriveled, tiny form stuck with needles and tubes","SEE in the bed beyond it a shriveled, tiny form stuck with needles and tubes",detailed description
6,26、INT. BISHOP BROPHY'S OFFICE - DAY,"In [26、INT. BISHOP BROPHY'S OFFICE - DAY], What is the Bishop's emotional state during his conversation with Galvin?",Compassionate,Compassionately: BISHOP It's a question of continuing values.,character states
7,27、INT. LAWYERS ROOM AND CORRIDOR - DAY,"In [27、INT. LAWYERS ROOM AND CORRIDOR - DAY], What is Galvin's emotional state when entering the Lawyers Room?",Determined,"Galvin, determined, coming down a corridor in the Courthouse",character states
8,72、INT. CONCANNON'S OFFICE - NIGHT,"In [72、INT. CONCANNON'S OFFICE - NIGHT], What is stamped on the red-backed document?","CONCANNON, BARKER, WHITE. Confidential. Eyes only.","stamped CONCANNON, BARKER, WHITE. Confidential. Eyes only.",objects/props
9,24、INT. GALVIN'S APARTMENT - NIGHT,"In [24、INT. GALVIN'S APARTMENT - NIGHT], What is Galvin's emotional state as depicted in the passage?",Saddened and distressed,"He sighs, rotates his neck, and discusses tragic events over the phone.",character states
10,41、INT. O'ROURKE'S PUB - NIGHT,What does Mickey say about Franky's absence?,"Franky can't make it. He had an appointment he forgot, he's going to see you later.","MICKEY Franky can't make it. He had an appointment he forgot, he's going to see you later.",dialogue/beliefs
11,21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT,"In [21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT], What is Gruber's behavioral state when he checks his watch?",Impatient,"glances at watch, impatient",character states
12,49、INT. JUDGE SWEENEY'S HOUSE - NIGHT,"In [49、INT. JUDGE SWEENEY'S HOUSE - NIGHT], Where does Galvin go after knocking on the sliding door?",The Judge's darkened study,Galvin opens the door and goes into the Judge's darkened study.,scene localization
13,56、EXT. SOUTH STREET STATION AND STREET - DAY,What does Galvin ask Dr. Thompson to do when he hands him the envelope?,Please don't tell anyone you're here,GALVIN (to Dr. Thompson) 'Please don't tell anyone you're here',dialogue/beliefs
14,11、INT. NORTHERN NURSING HOME CORRIDOR - DAY,"In [11、INT. NORTHERN NURSING HOME CORRIDOR - DAY], Where is Galvin walking when he receives suspicious looks?",The corridor of a very rundown nursing home,Galvin walking tentatively down the corridor of a very rundown nursing home.,scene localization
15,19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT,"In [19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT], What is Dr. Gruber's behavioral state during the conversation?",Rushed,Gruber... I'm kind of rushed. Do you mind if we walk while we talk?,character states
16,72、INT. CONCANNON'S OFFICE - NIGHT,"In [72、INT. CONCANNON'S OFFICE - NIGHT], Who possesses the red-backed file document at the start?",Concannon,Concannon sitting on a couch. He holds a red-backed file document.,objects/props
17,7、INT. GALVIN'S OFFICE - NIGHT,What causes Galvin to knock the phone off the desk?,He was going back to the desk for the bottle.,"He starts back to the desk for the bottle, knocks the still-ringing phone off the desk.",causal/relational queries
18,60、INT. GALVIN'S APARTMENT SITTING ROOM - NIGHT,What is Galvin doing while standing behind Mickey?,Galvin is smoking and nodding.,"Galvin standing behind Mickey, smoking. He nods.",detailed description
19,38、INT. JUDGE SWEENEY'S CHAMBERS-DAY,What does the Judge say to Galvin when he enters the room?,"You're late, Mr. Galvin.","JUDGE (V.O.) You're late, Mr. Galvin.",dialogue/beliefs
20,12、INT. NURSING HOME WARD - DAY,What action does Galvin perform with the camera after taking photos?,"Puts down camera, sits on the end of the bed","Puts down camera, sits on the end of the bed gazing at the unseen form",detailed description
21,20、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT,"In [20、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT], What is the behavioral state of Gruber and Galvin as described in the passage?",Hurriedly walking through a hospital corridor and down concrete stairs,"They walk hurriedly through a hospital corridor, to an EXIT door and down concrete stairs.",character states
22,8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,"In [8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT], What is Mickey Morrissey's age and emotional state?","A man in his late sixties, looking worried.","MICKEY MORRISSEY, a man in his late sixties, dressed in suit and overcoat, looking worried",character states
23,59、INT. CONCANNON'S OFFICE - NIGHT,What action did the Young Attorney take after stating Dr. Thompson's name?,Smiled and saved his best 'til last.,"smiles, saving his best 'til last)",detailed description
24,28、INT. FIRST CORRIDOR COURTHOUSE - DAY,"In [28、INT. FIRST CORRIDOR COURTHOUSE - DAY], What is Mickey's emotional state during the argument?",Enraged,MICKEY (enraged),character states
25,61、INT. LAURA'S HOTEL ROOM - NIGHT,How does Galvin react when Laura confronts him about his wife's picture?,He shakes his head sadly.,Galvin shakes his head sadly.,detailed description
26,32、INT. O'ROURKE'S PUB - NIGHT,What does Galvin claim about Laura's return?,He says she came back to see him.,you came back to see me tonight.,dialogue/beliefs
27,9、INT. GALVIN'S OFFICE ANTEROOM - INSERT - DAY,How is the file folder described when Galvin picks it up?,Torn in several places and rudely Scotch-taped,It is torn in several places and rudely Scotch-taped,detailed description
28,23、INT. O'ROURKE'S TAVERN - NIGHT,"In [23、INT. O'ROURKE'S TAVERN - NIGHT], What is Galvin's emotional state when he speaks to the young woman?",Smiling and cheerful.,"Galvin is at the bar, smiling to himself. I had a very good day today.",character states
29,19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT,"In [19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT], What is Galvin's emotional state when he approaches Dr. Gruber?",Nervous,"Galvin, a trifle nervous, to Doctor ON PHONE:",character states
30,9、INT. GALVIN'S OFFICE ANTEROOM - INSERT - DAY,What action does Galvin perform with the typewritten note?,Scotch-tapes it to the outside of the door,Scotch-tapes the note he has just typewritten to the outside of the door,detailed description
31,17、INT. OFFICE | 21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT | 26、INT. BISHOP BROPHY'S OFFICE - DAY,Why does Galvin ultimately refuse the settlement offer from the Bishop?,"Galvin refuses the settlement offer because he believes accepting it would mean complicity in ignoring the harm done to the patient and her family, and he feels that doing so would lead to his own moral loss.","Galvin says the doctors, the hospital, the Church, and even he himself have been paid to look away, and he admits he came to take the money but pushes the document away, stating that if he accepts it, he is lost.",causal/relational queries
32,27、INT. LAWYERS ROOM AND CORRIDOR - DAY | 40、INT. CIGAR - COURTHOUSE CORRIDOR - DAY | 42、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT | 43、INT. DOCTORS' LOCKER ROOM - GRUBER'S LOCKER | 20、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT,What does Galvin do immediately after confirming his appointment with Dr. Gruber?,He starts walking out of the locker room.,"After reading the note in his appointment book that says 'Dr. Gruber. 7:00 P.M. Hospital.', he stands still for a moment, then starts walking out of the locker room.",temporal references
33,7、INT. GALVIN'S OFFICE - NIGHT | 8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,What does Galvin state about the significance of his actions as he destroys the files?,Galvin states that his actions do not make a bit of difference.,"As he throws files into the wastebasket and tears some in half, he repeats softly, 'it doesn't make a bit of difference, it doesn't make a bit of difference...'",character states
34,40、INT. CIGAR - COURTHOUSE CORRIDOR - DAY | 43、INT. DOCTORS' LOCKER ROOM - GRUBER'S LOCKER | 46、EXT. GRUBER'S HOUSE & STREET - NIGHT,What happens after Galvin realizes he will not make it to O'Rourke's as planned?,"He asks Mickey to go in his place and deliver a message to Laura Fischer, then pays for a box of cigars before leaving.","Galvin remembers he is supposed to meet Gruber and realizes he won’t make it to O'Rourke's as planned. He asks Mickey to go in his place and deliver a message to Laura Fischer, saying he will meet her later. Galvin pays John thirty-three dollars for a box of Macanudos. He thanks John, tells Mickey he’ll see him tomorrow, and leaves.",temporal references
35,13、INT. CORRIDOR - GALVIN'S OFFICE BUILDING - DAY | 14、INT. OFFICE ANTEROOM - DAY | 21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT | 26、INT. BISHOP BROPHY'S OFFICE - DAY,Why does Galvin consider accepting the settlement offer from the Archdiocese despite Gruber's objections?,"Galvin considers accepting the settlement offer because he prioritizes the family's well-being and is concerned about the unpredictability of jury decisions, especially given the hospital's reputation and the standing of the doctors involved.","Galvin explains that he is considering the family's well-being and notes the unpredictability of jury decisions, mentioning the reputation of St. Catherine's and the standing of the doctors involved.",causal/relational queries
36,40、INT. CIGAR - COURTHOUSE CORRIDOR - DAY | 32、INT. O'ROURKE'S PUB - NIGHT | 8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,What does Mickey state about not leaving one's best work?,Mickey states that one should not leave their best work in the sheets.,"As he walks away, he raises a hand in salute and says, 'Don't leave your best work in the sheets.'",character states
37,3、INT. SECOND FUNERAL HOME AND STREET - AFTERNOON,What does the son state about Galvin's relationship to his father?,The son states that Galvin never knew his father.,"The son cut him off, shouting that Galvin had never known his father.",character states
38,19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT,What does Dr. Gruber state about being rushed during his interaction with Galvin?,Dr. Gruber states that he is kind of rushed and suggests they walk while they talk.,"Dr. Gruber says, 'That's perfectly all right. I'm kind of rushed. Do you mind if we walk while we talk?'",character states
39,37、INT. COURTHOUSE BAR - DAY | 5、EXT. SECOND FUNERAL STREET - DUSK,What does Galvin do immediately after stopping in the middle of the intersection?,He checks his watch and then turns around to walk back the way he came.,"After a moment, he checks his watch, then turns and walks back the way he came.",temporal references
40,7、INT. GALVIN'S OFFICE - NIGHT,What does Galvin state about his actions by discarding his degrees and ignoring the phone call?,Galvin demonstrates that he is rejecting his professional achievements and isolating himself from external contact.,Galvin throws his academic degrees into the wastebasket and does not respond to the persistent voice calling his name from the knocked-over phone.,character states
41,28、INT. FIRST CORRIDOR COURTHOUSE - DAY | 8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,What does Galvin state about his reason for rejecting the settlement?,Galvin states that he has to help the girl because they killed her and are trying to buy silence.,"Galvin insists he has to help the girl, that they killed her and are trying to buy silence.",character states
42,32、INT. O'ROURKE'S PUB - NIGHT | 33、INT. O'ROURKE'S - NIGHT (LATER) | 34、INT. GALVIN'S APARTMENT - NIGHT,What does Galvin state he is going to try to do?,Galvin states he is going to try to do something right.,"Galvin says, 'Maybe I can do something right,' and when Laura asks if that’s what he’s going to do, he responds, 'That’s what I’m going to try to do.'",character states
43,26、INT. BISHOP BROPHY'S OFFICE - DAY,Why does Galvin refuse to accept the settlement offer from the Bishop?,"Galvin refuses to accept the settlement offer because he believes that taking the money would compromise his integrity and reduce him to a wealthy ambulance chaser, despite his financial struggles.","Galvin says if he takes the money, he is lost, just a rich ambulance chaser, and he refuses the document even though he came to take the money and his law practice is not doing well.",causal/relational queries
44,2、INT. COFFEE SHOP - DAY | 3、INT. SECOND FUNERAL HOME AND STREET - AFTERNOON | 4、EXT. SECOND FUNERAL PARLOR - AFTERNOON,What does Galvin claim about his relationship to the deceased when confronted by the son?,Galvin claims he was a friend of the father.,"Galvin says he was a friend of the father, but the son interrupts, shouting that Galvin never knew his father.",character states
45,8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT | 28、INT. FIRST CORRIDOR COURTHOUSE - DAY,What does Mickey state about his decision to end his professional relationship with Galvin?,"Mickey states that he is ending his professional relationship with Galvin because he can no longer keep enabling him, nothing has changed or will change, and he is too old to continue doing this.","He says he’s done, that this is the end of their professional relationship, even though he brought him a case that could support him. He says life is too short and he’s too old to keep doing this.",character states
