scene,question,answer,evidence,qa_type
13、EXT. WAREHOUSE - DUSK,"In [13、EXT. WAREHOUSE - DUSK], What is Vicki's emotional state when men catcall her?",She is annoyed and confrontational.,Vicki flicks them off. The men burst into hysterics.,character states
19、INT. POLICE DEPARTMENT,What happens to Walter's photo after the notification page appears?,The photo is moved in on until it fills the frame and then frozen,We MOVE in on the photo of Walter till it fills the frame. FREEZE FRAME,detailed description
19、INT. POLICE DEPARTMENT,What is displayed on the computer screen as the fingers type?,Walter's image with typed words forming an Internet notification page,"A computer screen shows Walter's image -- the photo just taken of him against the blue background. Words appear across the screen as they are typed, creating an Internet notification page",detailed description
25、INT. WAREHOUSE - DAY,What does Vicki say to Pedro about his actions?,She asks how he would feel if someone did that to his sister.,HOW WOULD YOU FEEL IF SOME FUCKER DID THAT TO YOUR SISTER?!,dialogue/beliefs
45、INT. DINER - NIGHT,When does Vicki laugh?,After Walter creates the rabbit hand puppet,The rabbit nods at Vicki. She busts out laughing.,temporal references
43、INT. WAREHOUSE BATHROOM - DAY,What does 'damaged goods' refer to in the passage?,A person who is considered unreliable or problematic.,MARY-KAY calls the new man 'damaged goods' to imply he is not trustworthy.,terminology/abbreviation/concept
26、INT. WAREHOUSE CAFETERIA - DAY,Why does Bob tell Mary-Kay to mind her own business?,Because she asked about the new guy.,"MARY-KAY So, what'd he do? ... BOB Mind your own business, Mary-Kay.",causal/relational queries
38、INT. ROSEN'S OFFICE - DAY,Why does Walter dislike coming to see Rosen?,Because Rosen's cheery personality makes his skin itch.,Your cheery personality makes my skin itch.,causal/relational queries
54、INT. ROSEN'S OFFICE - DAY,How does Rosen define 'normal'?,It's whatever society defines it as.,I suppose it's however society defines it.,terminology/abbreviation/concept
50、INT. VICKI'S CAR - DAY,"In [50、INT. VICKI'S CAR - DAY], What behavioral state does Vicki exhibit after the cars honk?",Snaps out of her stupor.,She snaps out of her stupor.,character states
32、INT. CAR - NIGHT,What does Vicki imply about her own work choice?,She's not like most women,Guess I'm not like most women.,dialogue/beliefs
3、INT. LUMBERYARD WAREHOUSE - DAY,How is Walter described in terms of age and physical appearance?,"Early 40s, handsome but hardened by time.","He is WALTER, early forties, features handsome but hardened by time.",detailed description
50、INT. VICKI'S CAR - DAY,"In [50、INT. VICKI'S CAR - DAY], What is Vicki's emotional state as she drives?",Crying and emotionally distressed.,Tears stream down her face.,character states
44、EXT. WAREHOUSE - LATER,"In [44、EXT. WAREHOUSE - LATER], What is Vicki's current action when she interacts with Walter?",She is hollering to him from her Jeep and waving him over.,Vicki hollers to him from her Jeep. Vicki waves him over.,character states
56、INT. WAREHOUSE LOCKER ROOM - DAY,"In [56、INT. WAREHOUSE LOCKER ROOM - DAY], What is Walter's behavioral state as he leaves the room?",Closes his locker loudly and walks brusquely past,"Walter looks at her, closes his locker loudly, and walks brusquely past.",character states
34、INT. WALTER'S BEDROOM - NIGHT,Why does Vicki drop her cigarette and slide deeper under the covers?,Because Walter has run out of excuses,Walter has run out of excuses. Vicki drops her cigarette in an empty beer bottle and slides deeper under the covers.,causal/relational queries
31、EXT. WAREHOUSE - DUSK,What does Vicki claim about the weather?,It's fucking freezing out here.,VICKI It's fucking freezing out here.,dialogue/beliefs
42、INT. WAREHOUSE CAFETERIA - DAY,When does Walter retaliate against Vicki?,After Vicki blows a straw wrapper,"fter a moment, without glancing up, Walter retaliates",temporal references
28、INT. WALTER'S APARTMENT - NIGHT,What causes Walter to turn off the TV?,The baseball game ends.,Walter switches off the TV.,causal/relational queries
12、INT. WALTER'S APARTMENT - DAY,When do the birds flutter away?,After Walter lifts the blinds,Walter lifts the blinds. The birds flutter away.,temporal references
"21、EXT. PHARMACY, STRIP MALL - NIGHT","In [21、EXT. PHARMACY, STRIP MALL - NIGHT], What does Walter do after being cut off by the kids?",He pauses and watches them pass.,"He pauses for them to pass, watches after them momentarily, then proceeds inside.",character states
