scene,question,answer,evidence,qa_type
38、宿舍，夜，内,何小萍为什么流下泪水？,因为写信时回忆起与父亲的分离和孤独。,何小萍此时正打着手电写信，写到一半儿眼角流下了泪水，然后又擦擦泪水继续写。,causal/relational queries
58、帐篷，日，外,"在[58、帐篷，日，外]中, 何小萍为何放弃A角机会？",她对集体彻底寒心，选择放弃抗争。,很多年后我才能体会到何小萍那天中午的心情，她是在刘峰被处分之后对我们所有人都彻底寒心了。,character states
67、野外，日，外,宁政委对萧穗子说了什么？,抽调萧穗子去前线协助纪录片拍摄，今晚出发。,宁政委：你的文字能力不错，前线正缺记者和报道员，政治部抽调你去协助纪录片的拍摄，要到更前面去了，今晚就出发。,dialogue/beliefs
52、排练室，日，内,"在[52、排练室，日，内]中, 林丁丁的情绪状态如何？",惊悚、恶心、辜负和幻灭,她感到惊悚、恶心、辜负和幻灭。,character states
38、宿舍，夜，内,何小萍为什么写信给父亲？,因为看到希望，战友的爸爸都解放了，希望父亲也快回来。,何小萍画外音：爸爸，从前我都是受了欺负心里委屈了才给您写信，可今天不是，今天，我是看到了希望，我们团，好几个战友的爸爸都解放了，我想，我的爸爸应该也快等到这一天了吧,causal/relational queries
61、高原，日，外,"在[61、高原，日，外]中, 何小萍将被调往何处？",野战区医院,何小萍同志因为身体原因就要改行了，要到野战区医院锻炼,scene localization
63、帐篷，日，外,"在[63、帐篷，日，外]中, 医疗兵的情绪状态如何？",急匆匆，似乎在和时间赛跑,每个人都急匆匆的，似乎在和时间赛跑,character states
57、冰面，日，外,"在[57、冰面，日，外]中, 卓玛的情绪状态如何？",她感到痛苦,卓玛痛苦的捂着膝盖：我的膝盖。,character states
26、宿舍走廊，日，外,郝淑雯为什么威胁要搜查何小萍？,因为何小萍偷了林丁丁的军装照,林丁丁：你穿我军装的照片，都摆橱窗里了...郝淑雯：照片呢？是你自己拿出来还是我们搜,causal/relational queries
36、画面组合,刘峰为什么转行到舞美队？,在抗洪救灾中砸伤了腰，不能跳舞了,刘峰...在抗洪救灾中砸伤了腰，不能跳舞了，转行去了舞美队,causal/relational queries
37、排练场，日，内,刘峰为什么带回包裹？,因为萧穗子父亲平反，刘峰受托关照她。,你爸怕麻烦我跑路，自己提着箱子送到了京西宾馆，特地嘱咐我，说咱俩是战友，让我一定关照你。,causal/relational queries
54、宿舍外，日，外,"在[54、宿舍外，日，外]中, 谁是唯一认识到刘峰善良的人？",何小萍,萧穗子画外音：也许小萍是我们当中唯一一个认识到刘峰善良的人。,character states
12、食堂，日，内,陈灿对干部子弟的臭毛病持什么态度？,看不惯,我就看不惯那干部子弟的臭毛病。,dialogue/beliefs
39、排练场，日，内,"在[39、排练场，日，内]中, 朱克为什么无法完成舞蹈动作？",朱克闹肚子，没劲儿，抱不动何小萍,朱克：我闹什么了？我闹肚子，没劲儿，抱不动她，你要是给我换个人，我保证完成所有动作,character states
14、宿舍，日，内,"在[14、宿舍，日，内]中, 何小萍当时的情绪状态如何？",慌张,慌手慌脚的赶紧把军装又挂了回去,character states
50、院子，日，外,"在[50、院子，日，外]中, 首长的情绪状态如何？",气势汹汹,首长下车气势汹汹下车来到队伍面前。,character states
15、街道，日，外,"在[15、街道，日，外]中, 郝淑雯当时的情绪状态如何？",愤怒/不满,郝淑雯把他的胳膊推开：不吃，俩西红柿就想和好？打发谁呢？不要脸，趁火打劫。,character states
58、帐篷，日，外,"在[58、帐篷，日，外]中, 何小萍为何无法上场？",她出现高原反应并高烧39度。,我，我头疼，还喘不上气。分队长从何小萍胳膊里拿出温度计：烧三十九度。,character states
68、帐篷，夜，外,"在[68、帐篷，夜，外]中, 医疗兵打开车后发现了什么？",横七竖八的躺着尸体,打开车后，发现里面横七竖八的躺着尸体,scene localization
26、宿舍走廊，日，外,男兵为什么建议闻军装？,为了确认是否是偷来的,对面宿舍正在擦玻璃的一个男兵附和：还搜什么搜啊，你闻闻那军装有没有臭味儿不就知道是不是她偷得了吗？,causal/relational queries
12、食堂，日，内,郝淑雯如何回应陈灿对干部子弟的批评？,革命江山都是我们打下的,革命江山都是我们打下的，溅你点儿水你还……,dialogue/beliefs
