doc_title,chunk_id,fact,scene_context
104、EXT. THE SANDLOT - MR. MERTLE'S FENCE - NIGHT,doc_103_chunk_0,Squints directs the operation.,Operation involving vacupipe-mask and baseball.
133、EXT. TREE HOUSE - TIMMON'S BACKYARD - THE SANDLOT - THE,doc_132_chunk_0,Squints is at the periscope.,BADLANDS - DAY: Squints positioned at periscope with Bertram handling Yuban-comm for him.
140、EXT. BADLANDS - DAY,doc_139_chunk_0,Squints recounted the Beast.,Benny witnesses the Beast and states it is worse than Squints recounted.
161、EXT. THE SANDLOT - DAY,doc_160_chunk_1,Squints married Wendy Peffercorn.,
161、EXT. THE SANDLOT - DAY,doc_160_chunk_1,Squints and Wendy bought the Five & Dime.,
161、EXT. THE SANDLOT - DAY,doc_160_chunk_1,Squints and Wendy still own the Five & Dime.,
19、EXT. THE SANDLOT - DAY,doc_18_chunk_6,Squints' chances of getting in with the gang are over.,"During a ball-throwing incident where Squints throws the ball and it lands 6 feet from him, leading to his exclusion from the gang."
161、EXT. THE SANDLOT - DAY,doc_160_chunk_0,Squints is a player on the team.,Team playing ball
89、EXT. THE SANDLOT - DAY,doc_88_chunk_1,Squints makes a Willy Mays basket catch.,"Baseball game, center field"
100、EXT. THE SANDLOT - MR. MERTLE'S FENCE - DAY,doc_99_chunk_0,Squints issues the command 'go'.,
3、EXT. ELEMENTARY SCHOOL - DRINKING FOUNTAIN - DAY,doc_2_chunk_0,Squints drinks from one of the two un-cursed spigots.,"At the spigots, everyone drinks from the two un-cursed spigots."
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_2,Squints has recorded the stats in his pee-chee folder.,"Benny joins the gang, and Squints jots the stats."
57、EXT. THE SANDLOT - MORNING,doc_56_chunk_1,Squints is held back by Ham,
60、EXT. PUBLIC POOL - DAY,doc_59_chunk_1,Squints kissed the Lifeguard,Pool area
60、EXT. PUBLIC POOL - DAY,doc_59_chunk_1,The Lifeguard smiled at Squints,Pool area
92、INT. TREE HOUSE - DAY,doc_91_chunk_1,Squints explicitly rules out the option of asking Mr. Mertle for the item.,After Scotty suggests asking Mr. Mertle for the item
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_0,Squints is at the basepath.,"Baseball game, behind the chain-link backstop, during a play where Benny Rodriguez is caught in a pickle."
81、EXT. CARNIVAL - NIGHT,doc_80_chunk_2,Squints is on the Anti-Grav ride.,The gang boards the Anti-Grav ride.
