id,scene,question,answer,evidence,qa_type
1,4、INT. HOUSE - DAY,How is the housewife holding the vacuum and cigarette?,"One hand clutching the vacuum, the other stiffly holding a cigarette","one hand clutching the vacuum, the other stiffly holding a cigarette",detailed description
2,9、INT. KITCHEN - NIGHT,"In [9、INT. KITCHEN - NIGHT], What is the cook's emotional state when he sees something he doesn't like?",Surprised and alarmed,The freaky cook sees something he doesn't like. His eyes widen.,character states
3,1、INT. RESIDENTIAL HOTEL ROOM - NIGHT,What is depicted on the photograph inside the burning trumpet case?,"A photograph of a woman, with only her smile remaining as it burns",A PHOTOGRAPH of a woman taped to the inside of a trumpet case. The photo is on fire. Only her smile remains.,detailed description
4,20、INT. CAR - SAME,What does Danny say about paranoia?,"Just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.","DANNY: Well, you know what they say, just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.",dialogue/beliefs
5,20、INT. CAR - SAME,What does Tanner say to Danny after he mentions Crankville?,"Feeling the paranoia tonight, are we?","TANNER: Feeling the paranoia tonight, are we?",dialogue/beliefs
6,22、EXT. PARK - NIGHT,"In [22、EXT. PARK - NIGHT], What is Garcetti's emotional state when he confronts Danny?",Contemptuous and hostile,Garcetti looks at Danny with contempt.,character states
7,26、INT. RESIDENTIAL HOTEL ROOM - NIGHT,"In [26、INT. RESIDENTIAL HOTEL ROOM - NIGHT], What is inside the trumpet case?","A gleaming horn, a photo of a woman, a life insurance check, and a driver's license with Danny's name.",He slowly opens the trumpet case revealing a GLEAMING HORN inside. ... A CHECK from a LIFE INSURANCE COMPANY and a DRIVER'S LICENSE with Danny's picture and the name TOM VAN ALLEN.,objects/props
8,27、EXT. SALTON SEA - SUNSET (FLASHBACK),What does Danny say about why the song feels melancholy?,I think of what my life would be like without you.,DANNY/TOM You know how I make that song melancholy when I play it? I think of what my life would be like without you.,dialogue/beliefs
9,40、EXT. POOH-BEAR'S COMPOUND - DAY,What is the 'Grassy Knoll' in the context of the passage?,A location where a third shooter is positioned.,"A THIRD GUY aiming a pellet gun further down and to the right of ""Oswald"".",terminology/abbreviation/concept
10,50、INT. HALLWAY - DAY (FLASH FORWARD),"In [50、INT. HALLWAY - DAY (FLASH FORWARD)], What is Kujo's behavioral state during the interaction with the courier?",Threatening,Kujo points a dustbuster vacuum at the courier like it was a gun.,character states
