scene,question,answer,evidence,qa_type
34、INT. NURSING HOME - DAY,Why is Mary sitting expectantly on the edge of the bed?,"She is waiting for her son, Martin, as the nurse mentions his arrival.",Mary sits expectantly on the edge of the bed clutching her purse.,causal/relational queries
"12、INT. APARTMENT, CHICAGO - NIGHT","In [12、INT. APARTMENT, CHICAGO - NIGHT], What is Martin's emotional state when he enters the apartment?",Weary,He wearily drops his carry-on bag and briefcase,character states
"5、INT. HIRED CAR, NEW YORK - DAY","In [5、INT. HIRED CAR, NEW YORK - DAY], What is Martin's emotional state regarding his work?",He has lost his passion for work.,MARTIN: 'I've lost my passion for work.',character states
6、INT. CAR - MANHATTAN STREETS - LATER,What belief does the Driver express about control?,A small group controls the world,It's not so surprising that a small group of people control the whole world.,dialogue/beliefs
21、INT. CHURCH -,What does Martin do with the chalice?,"He removes it, squirts a clear liquid into the cup, swishes it out, and returns it to the cabinet.","MARTIN'S HANDS open the gilded doors to reveal the chalice. He removes it, squirts a clear liquid into the cup, and swishes it out. He returns the chalice to the cabinet.",detailed description
20、INT. DR. OATMAN'S OFFICE - DAY,What does Martin visualize during his session with Dr. Oatman?,"A crowded gymnasium where alumni draw guns and open fire, leading to a bloodbath.","CUT TO: MARTIN'S P.O.V. - FROM ABOVE Of a crowded gymnasium. The alumni below stops what they are doing and look up at Martin, DRAWING GUNS OF ALL SHAPES AND SIZES AND OPEN FIRE ON MARTIN. THE UNITED FORCE INSTANTLY DISINTEGRATES, AND ALL 400 PEOPLE TURN THEIR GUNS ON EACH OTHER. A BLOODBATH ENSUES.",detailed description
28、INT. DETROIT AIRPORT TERMINAL - EARLY MORNING,Why does Lardner dispute McCullers' claim about meeting the man in Lisbon?,Lardner states the man hasn't been to Portugal since '90 per the file.,LARDNER: 'He hasn't been in Portugal since '90. I know that from the file.',causal/relational queries
3、EXT. COUNTRY CLUB - DAY,What does Martin do with the laminated card?,"Fishes it out, looks at it, and tosses it onto the ground","He fishes out the laminated 'Personal Pan Power' card, looks at it, and tosses it onto the ground.",detailed description
28、INT. DETROIT AIRPORT TERMINAL - EARLY MORNING,What causes Lardner's sarcastic suggestion to McCullers about killing the man?,McCullers' persistent claims about knowing the man frustrate Lardner.,LARDNER: 'Why don't I just take the weekend off and let you kill him.',causal/relational queries
30、EXT. HIGHWAY-,What is the result of Martin driving down the roadway?,Headlong into his past.,Martin drives down the roadway... headlong into his past.,causal/relational queries
31、INT. MARTIN'S CAR,Why do Debby's words falter?,She sees Martin's silhouette in the car.,"Debi's P.O.V. of Martin's Town Car outside, Martin silhouetted in shadow. Debi... Her words falter almost imperceptibly.",causal/relational queries
44、EXT. STREET -,"In [44、EXT. STREET -], What is Martin's emotional state after stopping?",Determined,"His face softens, then becomes determined",character states
40、INT. RADIO STATION - DAY,What does Martin reveal about his profession?,He's a professional killer.,MARTIN I'm a professional killer.,dialogue/beliefs
37、EXT. GRAVEYARD ROAD - DAY,What does Martin claim about his own actions?,He murders for cash.,I murder for cash,dialogue/beliefs
53、EXT. ROAD - DAY,What does Martin accuse Paul of doing?,Putting hard-earned dollars into the hands of the class bully.,How could you put your hard-earned dollars into the hands of the class bully?,dialogue/beliefs
35、EXT. SUBURBAN STREET - DAY,Why does Martin decide to change the subject during his conversation with Mary?,Because Mary mentioned speaking to his father.,Mary spoke to your father the other day. Martin decides to change the subject.,causal/relational queries
37、EXT. GRAVEYARD ROAD - DAY,What does Martin say about his mother?,She's a psycho-pharmacological punching bag.,Mom's a psycho-pharmacological punching bag,dialogue/beliefs
50、EXT. FRANK LLOYD WRIGHT HOUSE - DAY,"In [50、EXT. FRANK LLOYD WRIGHT HOUSE - DAY], What is Martin's emotional state during his conversation with the guard?",Heartfelt and longing,Martin's dialogue about wanting a beautiful place and a wife like the couple,character states
58、EXT. RADIO STATION - NIGHT,What is a Shockabuku?,A swift spiritual kick to the head that alters your reality forever.,DEBI: It's a swift spiritual kick to the head that alters your reality forever.,terminology/abbreviation/concept
46、INT. COUNTRY SQUIRE -,When did the radio station start broadcasting news of the massacre?,Two minutes before it happened,two minutes before it happened,temporal references
21、INT. CHURCH -,What happens to the chalice when the Priest collapses?,It bounces free from the Priest's hand and hits the ground.,C.U. OF ALTAR CARPET The chalice bounces free from the Priest's hand as it hits the ground.,detailed description
10、INT. MARTIN'S AND GROCERS CARS - DAY,What does Martin notice about the other vehicle and its driver?,"Another Town Car appears in the next lane with the Doorman behind the wheel, phone in hand.","Martin notices another Town Car appears in the next lane. We recognize the Doorman behind the wheel, phone in hand. He is GROCER.",detailed description
45、INT. DEEJAY BOOTH -,"In [45、INT. DEEJAY BOOTH -], What is Debi's emotional state when she mentions Martin?",She is spooked.,I'm a little spooked.,character states
55、INT. 7-11 - NIGHT,What does Martin say when Carl asks if he can help?,What's done is done.,CARL Can I help you? MARTIN What's done is done.,dialogue/beliefs
16、INT. HUSKY MAN'S APARTMENT - SECONDS LATER,"In [16、INT. HUSKY MAN'S APARTMENT - SECONDS LATER], What is Martin's behavioral state as described in the passage?",Martin is moving silently in a crouch.,Martin moves silently down the hall in a crouch.,character states
"5、INT. HIRED CAR, NEW YORK - DAY","In [5、INT. HIRED CAR, NEW YORK - DAY], What behavioral trait does the driver describe about himself?",He can handle solitude and thinks on his feet.,"DRIVER: 'I can handle it. See, I can think on my feet.'",character states
10、INT. MARTIN'S AND GROCERS CARS - DAY,What action does Martin take after his conversation with Grocer?,Hangs up the phone and pulls away from the other car.,Martin hangs up and pulls away.,detailed description
54、EXT. RADIO STATION - NIGHT,What does Paul say to Martin as he leaves?,See you at the left-a-boy-came-back-a-man-made-good party.,"PAUL
See you at the left-a-boy-came-back-a-man-made-good party.",dialogue/beliefs
