scene,question,answer,evidence,qa_type
51、INT. TIE FIGHTER - DAY,What does Poe reveal about the droid's purpose?,It has a map leading to Luke Skywalker.,That droid's got a map that leads straight to Luke Skywalker!,dialogue/beliefs
9、EXT. RISE ADJACENT TO THE VILLAGE - NIGHT,"In [9、EXT. RISE ADJACENT TO THE VILLAGE - NIGHT], What is BB-8's emotional state after receiving the artifact?",Nervous and hesitant,"BEEP-WHINES nervously, hesitates, and rolls away",character states
62、EXT. NIIMA OUTPOST - TENT - DAY,"In [62、EXT. NIIMA OUTPOST - TENT - DAY], What is Rey's emotional state after the explosion?",rattled and truly afraid,"Rey is thrown HARD to the ground -- she is rattled, truly afraid.",character states
67、INT. MILLENNIUM FALCON - COCKPIT - DAY,"In [67、INT. MILLENNIUM FALCON - COCKPIT - DAY], What is Rey's emotional state as she attempts to motivate herself?",Experiencing self-doubt,Doesn't believe her quick words,character states
59、EXT. NIIMA OUTPOST - DAY,Why does Rey charge at Finn after recognizing BB-8?,Because BB-8 starts beeping crazily and she realizes he's the target,SEES FINN! BB-8 STARTS BEEPING like crazy. Then something insane happens: REY LOOKS AT FINN. REY (To BB-8) Who? Him? ... Rey begins CHARGING AT HIM,causal/relational queries
15、INT. TROOP TRANSPORT VEHICLE - NIGHT,"In [15、INT. TROOP TRANSPORT VEHICLE - NIGHT], What emotional state is FN-2187 in when he removes his helmet?",Terrified and desperate,"In this moment, terrified, desperate.",character states
68、EXT. NIIMA OUTPOST - SPACEPORT - DAY,"In [68、EXT. NIIMA OUTPOST - SPACEPORT - DAY], What is Unkar Plutt's emotional state when the Falcon crashes?",Screaming in anger,"Unkar Plutt runs out, SCREAMS",character states
12、EXT. OUTSKIRTS OF JAKKU VILLAGE - NIGHT,"In [12、EXT. OUTSKIRTS OF JAKKU VILLAGE - NIGHT], What does BB-8 express through his beeping?",Lonely and frightened,"HEAR HIM BEEPING to himself, lonely and frightened",dialogue/beliefs
2、EXT. JAKKU VILLAGE - NIGHT,"In [2、EXT. JAKKU VILLAGE - NIGHT], What is BB-8's emotional state during the scene?",Clearly worried,"BEEPS -- FAST, MORSE CODE-LIKE SOUNDS, clearly worried",character states
30、EXT. NIIMA OUTPOST - DAY,What does Rey say about her family?,They'll be back. One day.,For my family. They'll be back. One day.,dialogue/beliefs
28、INT. STAR DESTROYER HOLDING CELL - DAY,"In [28、INT. STAR DESTROYER HOLDING CELL - DAY], What physical reaction does Poe exhibit when Kylo Ren reaches for his face?",Poe flinches in the chair and begins to scream.,Poe flinches in the chair as Kylo Ren reaches for his face... Poe can't take it -- he BEGINS TO SCREAM,detailed description
27、EXT. STAR DESTROYER - DAY,What are the TIE fighters doing?,Heading to the massive ship high above Jakku.,Three TIE fighters head to the massive ship high above Jakku.,detailed description
37、INT. HANGAR SIX CONTROL ROOM - DAY,What does the Star Destroyer Technician report?,An unsanctioned departure from bay two.,We have an unsanctioned departure from bay two.,dialogue/beliefs
47、EXT. STAR DESTROYER - DAY,What caused the debris that the TIE Fighter slices through?,The explosion of a series of cannons,A SERIES OF CANNONS EXPLODE! Our TIE Fighter SLICES THROUGH the debris!,causal/relational queries
24、EXT. NIIMA OUTPOST - DAY,What is Rey's speeder doing in the scene?,"Racing across the frame, appearing almost insignificant.","Rey's SPEEDER races, almost insignificant, across frame.",detailed description
21、EXT. NIIMA OUTPOST - DAY,"In [21、EXT. NIIMA OUTPOST - DAY], What does Rey haul from her speeder?",The sack containing her found objects,Rey hauls the sack from her speeder toward the town,objects/props
54、EXT. JAKKU DESERT - DAY,"In [54、EXT. JAKKU DESERT - DAY], What is the Sinking Fields?",The location where the TIE fighter sinks into the sand.,We're in the Sinking Fields.,terminology/abbreviation/concept
1、INT. TROOP TRANSPORT VEHICLE - NIGHT,When does the sudden quiet occur?,After the brutal noise,"The BRUTAL NOISE is replaced by SUDDEN, SHOCKING QUIET",temporal references
20、EXT. DESERT - SPACESHIP GRAVEYARD - DAY,"In [20、EXT. DESERT - SPACESHIP GRAVEYARD - DAY], What is located in the graveyard on the desert floor?",Crashed spaceships,GRAVEYARD OF CRASHED SPACESHIPS,objects/props
54、EXT. JAKKU DESERT - DAY,What does 'quicksand' refer to in the passage?,The substance causing the TIE fighter to sink.,the ship BEGINS TO SINK -- like it's being CONSUMED INTO QUICKSAND.,terminology/abbreviation/concept
59、EXT. NIIMA OUTPOST - DAY,Why does Finn stop helping Rey when she starts fighting back?,"Because she fights back scrappily and feral, taking him aback","He stops when Rey begins to FIGHT BACK -- scrappy and feral, she KICKS, BITES and HITS. Finn is taken aback as she DEFEATS the attackers",causal/relational queries
53、INT. STAR DESTROYER MAIN BRIDGE - DAY,"In [53、INT. STAR DESTROYER MAIN BRIDGE - DAY], Where was FN-2187 sent after evaluation?",Reconditioning,"FN-2187 reported to my division, was evaluated and sent to Reconditioning.",scene localization
17、INT. JUNKED VESSEL - LARGER SPACE - LATER,How does the Scavenger descend into the wreck?,Climbing down a two-hundred foot-long cable,"the Scavenger descends, climbing down a two-hundred foot-long cable",detailed description
34、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY,"In [34、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY], What does Poe say when asked if he can fly a TIE fighter?",I can fly anything.,I can fly anything.,dialogue/beliefs
34、INT. STAR DESTROYER NARROW PASSAGEWAY - DAY,What does FN-2187 say about his reason for helping Poe?,Because it's the right thing to do.,Because it's the right thing to do.,dialogue/beliefs
62、EXT. NIIMA OUTPOST - TENT - DAY,"In [62、EXT. NIIMA OUTPOST - TENT - DAY], What is Finn's physical condition when Rey finds him?",unconscious,"Finn lies nearby, unconscious.",character states
18、INT. JUNKED VESSEL - ENGINES - DAY,"In [18、INT. JUNKED VESSEL - ENGINES - DAY], What is the Scavenger's current action?","Carrying a satchel and another large, found piece over pipes toward sunlight.","The Scavenger carries the satchel and another large, found piece, over enormous pipes in the vast space, heads through the dust toward a distant SLIT OF SUNLIGHT.",character states
47、EXT. STAR DESTROYER - DAY,Why does the TIE Fighter slice through the debris?,"Because the cannons exploded, creating debris",A SERIES OF CANNONS EXPLODE! Our TIE Fighter SLICES THROUGH the debris!,causal/relational queries
