scene,question,answer,evidence,qa_type
49、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY,"In [49、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY], What emotional state does Barbara display during the argument?",Resentful and confrontational.,Her father in name only! Precocious little shit.,character states
9、INT/EXT. CHARLIE'S CADILLAC/WESTON HOUSE - DAY,What does Mattie Fae say about burning a man's books?,"You do, if the situation calls for it.","MATTIE FAE You do, if the situation calls for it.",dialogue/beliefs
13、INT. WESTON HOUSE - AFTERNOON,What is Ivy doing at the top of the stairs?,Watches her mother in her sister's arms.,"Ivy appears at the top of the stairs, watches her mother in her sister's arms.",detailed description
15、INT. THE BACK PORCH - LATE AFTERNOON,What is the purpose of the safety deposit box in Violet and Barbara's arrangement?,"It stores cash and jewelry, which are rolled into the estate during probate.","If something were to ever happen to one of us, the other one would go empty that box. The money and jewelry gets rolled into the estate, bank seals the box until probate is settled.",terminology/abbreviation/concept
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,How does the farmhouse appear to Barb?,"It peeks out through the trees, beckoning, threatening, ominous.","Barb looks down the road and across the field to where the farm house peeks out through the trees, beckoning, threatening, ominous.",detailed description
14、EXT. THE YARD - LATE AFTERNOON,Why does Jean recoil when Johnna mentions the pouch?,Because it contains her umbilical cord.,Johnna says 'My umbilical cord.' Jean recoils.,causal/relational queries
14、EXT. THE YARD - LATE AFTERNOON,"In [14、EXT. THE YARD - LATE AFTERNOON], What happens to a Cheyenne's soul if they lose their pouch?",Their soul belongs nowhere and wanders the Earth.,"If we lose it, our souls belong nowhere and when we die our souls walk the Earth looking for where we belong.",causal/relational queries
48、EXT. WESTON BACKYARD - AFTERNOON,"In [48、EXT. WESTON BACKYARD - AFTERNOON], What emotional state does Bill imply through his dialogue?",Feeling of failure or regret,I missed something.,character states
38、INT/EXT. CAR/FIRST BAPTIST CHURCH OF PAWHUSKA - DAY,"In [38、INT/EXT. CAR/FIRST BAPTIST CHURCH OF PAWHUSKA - DAY], What is Violet's behavioral state when she emerges into the sun?",Recoils slightly,Violet emerges into the blinding sun. Recoils slightly.,character states
42、INT. THE KITCHEN - AFTERNOON,"In [42、INT. THE KITCHEN - AFTERNOON], What is Karen's emotional state according to her dialogue?",Karen is happy and has been unhappy most of her adult life.,I'm happy. I've been unhappy most of my life.,character states
47、INT/EXT. GREYHOUND BUS/PARKING LOT - AFTERNOON,"In [47、INT/EXT. GREYHOUND BUS/PARKING LOT - AFTERNOON], What emotional state does Little Charles display when exiting the bus?",Reluctant and remorseful,"Steps reluctantly out into the heat. I'm sorry, Dad.",character states
